,steps,reward1,reward2,reward3
0,200.0,5.0,12.0,10.0
1,400.0,5.0,11.75,11.5
2,600.0,2.25,12.0,11.75
3,800.0,5.0,11.5,8.5
4,1000.0,2.0,10.25,10.25
5,1200.0,1.7500000000000002,11.5,10.0
6,1400.0,0.5,11.75,10.0
7,1600.0,2.25,11.75,11.5
8,1800.0,5.0,13.5,10.25
9,2000.0,5.5,11.75,11.5
10,2200.0,2.0,8.75,10.25
11,2400.0,5.25,11.75,11.5
12,2600.0,6.75,12.0,10.25
13,2800.0,0.25,12.0,11.5
14,3000.0,3.5000000000000004,13.5,11.75
15,3200.0,5.25,10.25,11.75
16,3400.0,5.25,11.75,8.75
17,3600.0,5.5,11.5,8.75
18,3800.0,6.75,10.0,10.25
19,4000.0,8.25,12.0,10.25
20,4200.0,2.0,10.25,11.5
21,4400.0,2.25,10.25,10.25
22,4600.0,1.7500000000000002,11.5,11.5
23,4800.0,2.0,13.25,11.75
24,5000.0,3.75,11.5,8.5
25,5200.0,2.0,11.75,10.0
26,5400.0,5.0,10.25,8.75
27,5600.0,2.0,12.0,8.75
28,5800.0,6.75,8.75,11.75
29,6000.0,3.5000000000000004,12.0,11.5
30,6200.0,5.25,11.5,11.5
31,6400.0,1.7500000000000002,13.25,11.75
32,6600.0,5.0,12.0,11.75
33,6800.0,2.25,13.25,11.75
34,7000.0,1.7500000000000002,11.5,11.75
35,7200.0,2.25,12.0,10.25
36,7400.0,3.5000000000000004,11.75,11.75
37,7600.0,7.000000000000001,11.75,11.5
38,7800.0,3.5000000000000004,11.5,11.5
39,8000.0,0.5,13.25,10.0
40,8200.0,2.0,11.75,8.75
41,8400.0,3.75,12.0,8.75
42,8600.0,3.75,11.75,11.5
43,8800.0,5.0,13.25,8.75
44,9000.0,5.0,11.75,10.0
45,9200.0,3.75,11.75,10.25
46,9400.0,5.0,12.0,10.0
47,9600.0,0.5,13.25,10.25
48,9800.0,2.25,12.0,8.75
49,10000.0,3.75,10.0,11.5
50,10200.0,6.75,12.0,10.25
51,10400.0,5.0,11.75,10.0
52,10600.0,2.0,11.75,11.5
53,10800.0,3.5000000000000004,11.5,10.25
54,11000.0,7.000000000000001,10.0,11.75
55,11200.0,3.75,11.75,11.75
56,11400.0,5.25,13.5,11.5
57,11600.0,5.25,11.75,11.75
58,11800.0,5.0,12.0,11.5
59,12000.0,5.25,12.0,10.25
60,12200.0,7.000000000000001,11.5,11.5
61,12400.0,3.5000000000000004,13.5,10.0
62,12600.0,5.25,11.75,11.5
63,12800.0,5.25,11.75,10.25
64,13000.0,5.25,11.75,10.25
65,13200.0,7.000000000000001,13.25,10.25
66,13400.0,5.0,11.75,11.5
67,13600.0,0.5,13.25,11.5
68,13800.0,2.25,13.5,10.25
69,14000.0,2.0,11.75,11.5
70,14200.0,5.25,11.75,10.0
71,14400.0,7.000000000000001,11.5,11.5
72,14600.0,3.75,13.25,10.0
73,14800.0,5.5,12.0,11.75
74,15000.0,2.25,13.25,10.0
75,15200.0,8.25,12.0,11.5
76,15400.0,5.0,10.25,8.5
77,15600.0,2.0,10.0,11.5
78,15800.0,1.7500000000000002,12.0,8.75
79,16000.0,3.5000000000000004,12.0,11.5
80,16200.0,1.7500000000000002,11.75,11.75
81,16400.0,5.0,11.5,8.75
82,16600.0,5.0,13.25,11.5
83,16800.0,5.0,11.5,10.25
84,17000.0,3.5000000000000004,11.75,11.5
85,17200.0,2.0,11.5,11.75
86,17400.0,6.75,13.25,10.25
87,17600.0,2.25,10.25,11.75
88,17800.0,3.75,11.5,10.25
89,18000.0,1.7500000000000002,11.75,11.75
90,18200.0,5.25,11.75,10.25
91,18400.0,3.75,12.0,11.5
92,18600.0,8.25,11.75,8.75
93,18800.0,5.0,11.75,11.5
94,19000.0,5.0,11.75,10.25
95,19200.0,5.25,11.75,10.25
96,19400.0,2.0,13.25,10.0
97,19600.0,5.0,11.5,10.0
98,19800.0,7.000000000000001,11.5,11.5
99,20000.0,3.75,11.5,11.5
100,20200.0,3.5000000000000004,11.5,11.75
101,20400.0,2.0,11.75,11.5
102,20600.0,5.0,10.0,11.5
103,20800.0,3.5000000000000004,12.0,11.5
104,21000.0,3.5000000000000004,11.75,10.25
105,21200.0,1.7500000000000002,10.25,11.75
106,21400.0,8.25,11.5,10.25
107,21600.0,5.0,13.25,10.0
108,21800.0,5.0,11.75,10.0
109,22000.0,2.0,11.5,8.75
110,22200.0,3.5000000000000004,13.25,8.75
111,22400.0,3.75,11.75,11.75
112,22600.0,5.25,13.25,10.25
113,22800.0,0.5,13.25,10.25
114,23000.0,5.0,11.75,11.75
115,23200.0,2.0,10.25,10.25
116,23400.0,5.0,11.75,10.25
117,23600.0,5.5,11.75,10.25
118,23800.0,5.0,11.5,10.25
119,24000.0,3.5000000000000004,10.25,11.75
120,24200.0,3.75,11.75,10.25
121,24400.0,7.000000000000001,10.25,11.5
